xmin,ymax,xmax,ymin,lon,lat,area,Piping_Plover,Red_Knot,Roseate_Tern
-72.49984412,38.26902266,-71.99984412,37.76902266,-72.24984412,38.01902266,2436.643781,0,0,0
-72.49984412,36.76902266,-71.99984412,36.26902266,-72.24984412,36.51902266,2484.834814,1,1,1
-72.49984412,37.26902266,-71.99984412,36.76902266,-72.24984412,37.01902266,2468.961024,1,1,1
-72.49984412,35.76902266,-71.99984412,35.26902266,-72.24984412,35.51902266,2516.007459,1,1,1
-72.49984412,36.26902266,-71.99984412,35.76902266,-72.24984412,36.01902266,2500.517304,1,1,1
-71.99984412,37.76902266,-71.49984412,37.26902266,-71.74984412,37.51902266,2452.89699,1,1,1
-71.99984412,36.76902266,-71.49984412,36.26902266,-71.74984412,36.51902266,2484.834814,1,1,1
-71.99984412,37.26902266,-71.49984412,36.76902266,-71.74984412,37.01902266,2468.961024,1,1,1
-71.99984412,35.76902266,-71.49984412,35.26902266,-71.74984412,35.51902266,2516.007459,1,1,1
-71.99984412,36.26902266,-71.49984412,35.76902266,-71.74984412,36.01902266,2500.517304,1,1,1
-76.99984412,34.76902266,-76.49984412,34.26902266,-76.74984412,34.51902266,2546.40669,1,1,1
-77.49984412,34.76902266,-76.99984412,34.26902266,-77.24984412,34.51902266,2546.40669,1,1,1
-78.99984412,34.26902266,-78.49984412,33.76902266,-78.74984412,34.01902266,2561.31377,1,1,1
-78.49984412,34.26902266,-77.99984412,33.76902266,-78.24984412,34.01902266,2561.31377,1,1,1
-78.99984412,33.76902266,-78.49984412,33.26902266,-78.74984412,33.51902266,2576.024522,1,1,1
-79.49984412,33.76902266,-78.99984412,33.26902266,-79.24984412,33.51902266,2576.024522,1,1,1
-75.99984412,34.76902266,-75.49984412,34.26902266,-75.74984412,34.51902266,2546.40669,1,1,1
-75.99984412,35.26902266,-75.49984412,34.76902266,-75.74984412,35.01902266,2531.304256,1,1,1
-75.99984412,33.76902266,-75.49984412,33.26902266,-75.74984412,33.51902266,2576.024522,1,1,1
-75.99984412,34.26902266,-75.49984412,33.76902266,-75.74984412,34.01902266,2561.31377,1,1,1
-75.99984412,33.26902266,-75.49984412,32.76902266,-75.74984412,33.01902266,2590.537989,1,1,1
-76.49984412,34.76902266,-75.99984412,34.26902266,-76.24984412,34.51902266,2546.40669,1,1,1
-76.49984412,35.26902266,-75.99984412,34.76902266,-76.24984412,35.01902266,2531.304256,1,1,1
-76.49984412,33.76902266,-75.99984412,33.26902266,-76.24984412,33.51902266,2576.024522,1,1,1
-76.49984412,34.26902266,-75.99984412,33.76902266,-76.24984412,34.01902266,2561.31377,1,1,1
-74.49984412,38.76902266,-73.99984412,38.26902266,-74.24984412,38.51902266,2420.202481,0,0,0
-74.49984412,37.76902266,-73.99984412,37.26902266,-74.24984412,37.51902266,2452.89699,0,0,0
-74.49984412,38.26902266,-73.99984412,37.76902266,-74.24984412,38.01902266,2436.643781,0,0,0
-74.49984412,36.76902266,-73.99984412,36.26902266,-74.24984412,36.51902266,2484.834814,0,0,0
-74.49984412,37.26902266,-73.99984412,36.76902266,-74.24984412,37.01902266,2468.961024,0,0,0
-74.49984412,35.76902266,-73.99984412,35.26902266,-74.24984412,35.51902266,2516.007459,1,1,1
-74.49984412,36.26902266,-73.99984412,35.76902266,-74.24984412,36.01902266,2500.517304,0,0,0
-74.49984412,34.76902266,-73.99984412,34.26902266,-74.24984412,34.51902266,2546.40669,1,1,1
-74.49984412,35.26902266,-73.99984412,34.76902266,-74.24984412,35.01902266,2531.304256,1,1,1
-74.49984412,33.76902266,-73.99984412,33.26902266,-74.24984412,33.51902266,2576.024522,1,1,1
-74.49984412,34.26902266,-73.99984412,33.76902266,-74.24984412,34.01902266,2561.31377,1,1,1
-75.49984412,34.76902266,-74.99984412,34.26902266,-75.24984412,34.51902266,2546.40669,1,1,1
-75.49984412,33.76902266,-74.99984412,33.26902266,-75.24984412,33.51902266,2576.024522,1,1,1
-75.49984412,34.26902266,-74.99984412,33.76902266,-75.24984412,34.01902266,2561.31377,1,1,1
-74.99984412,34.76902266,-74.49984412,34.26902266,-74.74984412,34.51902266,2546.40669,1,1,1
-74.99984412,35.26902266,-74.49984412,34.76902266,-74.74984412,35.01902266,2531.304256,1,1,1
-74.99984412,33.76902266,-74.49984412,33.26902266,-74.74984412,33.51902266,2576.024522,1,1,1
-74.99984412,34.26902266,-74.49984412,33.76902266,-74.74984412,34.01902266,2561.31377,1,1,1
-72.99984412,39.76902266,-72.49984412,39.26902266,-72.74984412,39.51902266,2386.760033,0,0,0
-72.99984412,40.26902266,-72.49984412,39.76902266,-72.74984412,40.01902266,2369.761136,0,0,0
-72.99984412,38.76902266,-72.49984412,38.26902266,-72.74984412,38.51902266,2420.202481,0,0,0
-72.99984412,39.26902266,-72.49984412,38.76902266,-72.74984412,39.01902266,2403.574192,0,0,0
-72.99984412,37.76902266,-72.49984412,37.26902266,-72.74984412,37.51902266,2452.89699,0,0,0
-72.99984412,38.26902266,-72.49984412,37.76902266,-72.74984412,38.01902266,2436.643781,0,0,0
-72.99984412,34.76902266,-72.49984412,34.26902266,-72.74984412,34.51902266,2546.40669,1,1,1
-72.99984412,34.26902266,-72.49984412,33.76902266,-72.74984412,34.01902266,2561.31377,1,1,1
-72.49984412,39.76902266,-71.99984412,39.26902266,-72.24984412,39.51902266,2386.760033,0,0,0
-72.49984412,40.26902266,-71.99984412,39.76902266,-72.24984412,40.01902266,2369.761136,0,0,0
-72.49984412,38.76902266,-71.99984412,38.26902266,-72.24984412,38.51902266,2420.202481,0,0,0
-72.49984412,39.26902266,-71.99984412,38.76902266,-72.24984412,39.01902266,2403.574192,0,0,0
-73.99984412,38.76902266,-73.49984412,38.26902266,-73.74984412,38.51902266,2420.202481,0,0,0
-73.99984412,39.26902266,-73.49984412,38.76902266,-73.74984412,39.01902266,2403.574192,0,0,0
-73.99984412,37.76902266,-73.49984412,37.26902266,-73.74984412,37.51902266,2452.89699,0,0,0
-73.99984412,38.26902266,-73.49984412,37.76902266,-73.74984412,38.01902266,2436.643781,0,0,0
-73.99984412,36.76902266,-73.49984412,36.26902266,-73.74984412,36.51902266,2484.834814,0,0,0
-73.99984412,37.26902266,-73.49984412,36.76902266,-73.74984412,37.01902266,2468.961024,0,0,0
-73.99984412,34.76902266,-73.49984412,34.26902266,-73.74984412,34.51902266,2546.40669,1,1,1
-73.99984412,33.76902266,-73.49984412,33.26902266,-73.74984412,33.51902266,2576.024522,1,1,1
-73.99984412,34.26902266,-73.49984412,33.76902266,-73.74984412,34.01902266,2561.31377,1,1,1
-73.49984412,39.76902266,-72.99984412,39.26902266,-73.24984412,39.51902266,2386.760033,0,0,0
-73.49984412,38.76902266,-72.99984412,38.26902266,-73.24984412,38.51902266,2420.202481,0,0,0
-73.49984412,39.26902266,-72.99984412,38.76902266,-73.24984412,39.01902266,2403.574192,0,0,0
-73.49984412,37.76902266,-72.99984412,37.26902266,-73.24984412,37.51902266,2452.89699,0,0,0
-73.49984412,38.26902266,-72.99984412,37.76902266,-73.24984412,38.01902266,2436.643781,0,0,0
-73.49984412,37.26902266,-72.99984412,36.76902266,-73.24984412,37.01902266,2468.961024,0,0,0
-73.49984412,34.76902266,-72.99984412,34.26902266,-73.24984412,34.51902266,2546.40669,1,1,1
-73.49984412,34.26902266,-72.99984412,33.76902266,-73.24984412,34.01902266,2561.31377,1,1,1
-70.99984412,41.76902266,-70.49984412,41.26902266,-70.74984412,41.51902266,2317.667593,0,0,0
-72.49984412,34.76902266,-71.99984412,34.26902266,-72.24984412,34.51902266,2546.40669,1,1,1
-72.49984412,35.26902266,-71.99984412,34.76902266,-72.24984412,35.01902266,2531.304256,1,1,1
-72.49984412,34.26902266,-71.99984412,33.76902266,-72.24984412,34.01902266,2561.31377,1,1,1
-71.99984412,38.76902266,-71.49984412,38.26902266,-71.74984412,38.51902266,2420.202481,1,1,1
-71.99984412,38.26902266,-71.49984412,37.76902266,-71.74984412,38.01902266,2436.643781,1,1,1
-71.99984412,34.76902266,-71.49984412,34.26902266,-71.74984412,34.51902266,2546.40669,1,1,1
-71.99984412,35.26902266,-71.49984412,34.76902266,-71.74984412,35.01902266,2531.304256,1,1,1
-71.99984412,34.26902266,-71.49984412,33.76902266,-71.74984412,34.01902266,2561.31377,1,1,1
